Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,Tyler Anderson*,32,15,5,.750,2.57,30,28,0,0,0,0,178.2,145,57,51,14,34,0,138,9,0,6,707,161,3.31,1.002,7.3,0.7,1.7,7.0,4.06
SP,Julio Urías*,25,17,7,.708,2.16,31,31,0,0,0,0,175.0,127,51,42,23,41,0,166,5,1,0,689,192,3.71,0.960,6.5,1.2,2.1,8.5,4.05
SP,Tony Gonsolin,28,16,1,.941,2.14,24,24,0,0,0,0,130.1,79,32,31,11,35,1,119,4,0,5,498,194,3.28,0.875,5.5,0.8,2.4,8.2,3.40
SP,Clayton Kershaw*,34,12,3,.800,2.28,22,22,0,0,0,0,126.1,96,36,32,10,23,0,137,2,1,0,493,182,2.57,0.942,6.8,0.7,1.6,9.8,5.96
SP,Andrew Heaney*,31,4,4,.500,3.10,16,14,1,0,0,0,72.2,60,34,25,14,19,0,110,9,0,0,310,134,3.75,1.087,7.4,1.7,2.4,13.6,5.79
SP,Walker Buehler,27,6,3,.667,4.02,12,12,0,1,1,0,65.0,67,30,29,8,17,0,58,2,0,1,274,104,3.80,1.292,9.3,1.1,2.4,8.0,3.41
Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
CL,Craig Kimbrel,34,6,7,.462,3.75,63,0,47,0,0,22,60.0,51,31,25,4,28,2,72,5,1,7,260,111,3.23,1.317,7.7,0.6,4.2,10.8,2.57
RP,Evan Phillips,27,7,3,.700,1.14,64,0,9,0,0,2,63.0,33,11,8,2,15,1,77,3,0,0,233,364,1.94,0.762,4.7,0.3,2.1,11.0,5.13
RP,Phil Bickford,26,2,1,.667,4.72,60,0,13,0,0,0,61.0,53,33,32,12,14,0,67,2,0,0,247,88,4.26,1.098,7.8,1.8,2.1,9.9,4.79
RP,Alex Vesia*,26,5,0,1.000,2.15,63,0,6,0,0,1,54.1,37,14,13,2,24,1,79,2,0,2,227,193,2.12,1.123,6.1,0.3,4.0,13.1,3.29
RP,Brusdar Graterol,23,2,4,.333,3.26,46,1,12,0,0,4,49.2,39,20,18,3,10,1,43,3,0,0,197,128,2.95,0.987,7.1,0.5,1.8,7.8,4.30
Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
