Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
Aaron Judge,NYY,157,696,62,133,131,16,15.9%,25.1%,.375,.340,.311,.425,.686,.458,.463,207,2.1,86.1,1.1,11.5
Manny Machado,SDP,150,644,32,100,102,9,9.8%,20.7%,.234,.337,.298,.366,.531,.382,.338,152,3.0,41.9,6.9,7.4
Nolan Arenado,STL,148,620,30,73,103,5,8.4%,11.6%,.241,.290,.293,.358,.533,.381,.339,151,-1.6,35.3,13.4,7.3
Paul Goldschmidt,STL,151,651,35,106,115,7,12.1%,21.7%,.260,.368,.317,.404,.578,.419,.367,177,3.0,61.6,-15.8,7.1
Freddie Freeman,LAD,159,708,21,117,100,13,11.9%,14.4%,.186,.359,.325,.407,.511,.393,.403,157,5.4,52.6,-8.8,7.1
Francisco Lindor,NYM,161,706,26,98,107,16,8.4%,18.8%,.179,.301,.270,.339,.449,.342,.331,127,3.3,25.4,15.2,6.8
Yordan Alvarez,HOU,135,561,37,95,97,1,13.9%,18.9%,.306,.320,.306,.406,.613,.427,.462,185,-0.6,52.8,-6.7,6.7
Jose Altuve,HOU,141,604,28,103,57,18,10.9%,14.4%,.233,.315,.300,.387,.533,.397,.354,164,-1.5,41.8,1.6,6.6
Mookie Betts,LAD,142,639,35,117,82,12,8.6%,16.3%,.264,.272,.269,.340,.533,.373,.344,144,4.3,37.2,3.5,6.5
J.T. Realmuto,PHI,139,562,22,75,84,21,7.3%,21.2%,.202,.318,.276,.342,.478,.354,.351,128,6.6,24.9,18.0,6.5
Dansby Swanson,ATL,162,696,25,99,96,18,7.0%,26.1%,.170,.348,.277,.329,.447,.337,.337,116,3.1,15.7,21.4,6.4
Trea Turner,LAD,160,708,21,101,100,27,6.4%,18.5%,.169,.342,.298,.343,.466,.350,.335,128,6.5,29.5,7.1,6.3
Jose Ramirez,CLE,157,685,29,90,126,20,10.1%,12.0%,.235,.279,.280,.355,.514,.363,.320,139,6.0,36.0,1.0,6.2
Andres Gimenez,CLE,146,557,17,66,69,20,6.1%,20.1%,.169,.353,.297,.371,.466,.364,.326,140,3.4,28.3,12.0,6.1
Xander Bogaerts,BOS,150,631,15,84,73,8,9.0%,18.7%,.149,.362,.307,.377,.456,.363,.323,134,4.7,28.6,9.1,6.1
Mike Trout,LAA,119,499,40,85,80,1,10.8%,27.9%,.347,.323,.283,.369,.630,.418,.395,176,-0.3,42.4,-0.6,6.1
Jeff McNeil,NYM,148,589,9,73,62,4,6.8%,10.4%,.128,.353,.326,.382,.454,.365,.323,143,2.0,31.3,4.5,5.8
Tommy Edman,STL,153,630,13,95,57,32,7.3%,17.6%,.135,.308,.265,.324,.400,.318,.308,108,8.4,14.2,18.7,5.7
Austin Riley,ATL,159,693,38,90,93,2,8.2%,24.2%,.255,.315,.273,.349,.528,.377,.378,142,-1.7,32.5,-3.0,5.5
Alex Bregman,HOU,155,656,23,93,93,1,13.3%,11.7%,.195,.260,.259,.366,.454,.358,.350,136,-3.0,23.6,7.6,5.5
Julio Rodriguez,SEA,132,560,28,84,75,25,7.1%,25.9%,.225,.345,.284,.345,.509,.366,.337,146,4.3,33.4,0.4,5.4
