Team,At bats,Wins,Runs,Hits,Singles,Doubles,Triples,Home runs,Stolen bases,Runs batted in,Outs,Strikeouts,Walks,Year
ARI,7543.0,111.9,1013.7,1955.5,1258.1,424.0,45.6,227.9,128.4,980.5,5587.5,1748.3,744.4,2012
WSH,7754.3,135.3,1009.5,2027.3,1309.2,415.7,34.5,267.9,145.0,950.1,5727.0,1829.8,661.5,2012
TOR,7577.5,100.8,988.8,1858.8,1213.9,341.1,30.4,273.4,169.9,934.9,5718.7,1727.6,653.2,2012
TEX,7719.8,128.4,1115.8,2106.0,1367.2,418.4,44.2,276.2,125.7,1075.8,5613.8,1523.2,660.1,2012
TB,7454.6,124.3,962.6,1785.6,1157.3,345.2,41.4,241.7,185.1,918.4,5669.0,1827.1,788.6,2012
STL,7764.0,121.5,1056.5,2107.4,1436.2,400.5,51.1,219.6,125.7,1010.9,5656.6,1646.2,736.1,2012
SF,7675.6,129.8,991.6,2064.6,1447.3,396.3,78.7,142.2,163.0,932.2,5611.0,1515.0,667.0,2012
SEA,7587.2,103.6,854.8,1774.6,1198.7,332.8,37.3,205.8,143.6,806.5,5812.6,1738.7,643.5,2012
PIT,7474.0,109.1,899.0,1813.3,1194.6,332.8,51.1,234.8,100.8,856.2,5660.7,1869.9,613.2,2012
PHI,7656.3,111.9,944.6,1952.7,1321.6,374.3,38.7,218.2,160.2,910.1,5703.5,1510.8,627.0,2012
OAK,7632.8,129.8,984.7,1816.0,1133.8,368.7,44.2,269.3,168.5,933.6,5816.8,1915.4,759.6,2012
NYY,7628.6,131.2,1110.3,2019.0,1276.0,386.7,18.0,338.3,128.4,1068.9,5609.6,1624.1,780.3,2012
NYM,7526.4,102.2,897.6,1874.0,1258.1,395.0,29.0,192.0,109.1,863.1,5652.4,1726.2,693.3,2012
MIN,7681.1,91.1,968.1,1999.7,1405.9,371.5,41.4,180.9,186.4,919.7,5681.4,1476.3,697.4,2012
MIL,7674.2,114.6,1071.7,1991.4,1244.3,414.3,53.9,279.0,218.2,1023.3,5682.8,1712.4,643.5,2012
SD,7487.8,105.0,899.0,1849.2,1247.0,375.6,59.4,167.1,214.1,842.4,5638.6,1709.7,744.4,2012
LAD,7509.9,118.8,879.7,1890.6,1327.1,371.5,31.8,160.2,143.6,838.3,5619.3,1596.4,664.3,2012
MIA,7508.5,95.3,841.0,1832.6,1229.1,360.4,53.9,189.2,205.8,795.5,5675.9,1695.9,668.4,2012
ATL,7493.3,129.8,966.7,1851.9,1241.5,363.2,41.4,205.8,139.5,911.5,5641.4,1781.5,783.0,2012
BAL,7678.4,128.4,983.3,1898.9,1208.4,372.9,22.1,295.5,80.1,934.9,5779.5,1816.0,662.9,2012
BOS,7739.1,95.3,1013.7,2014.9,1296.8,468.2,22.1,227.9,134.0,959.8,5724.2,1653.1,591.1,2012
CHC,7472.6,84.2,846.6,1791.2,1186.3,366.0,49.7,189.2,129.8,787.2,5681.4,1705.5,617.3,2012
CIN,7563.7,134.0,923.9,1901.6,1213.9,408.8,41.4,237.5,120.1,878.3,5662.1,1748.3,664.3,2012
CHW,7620.4,117.4,1033.0,1945.8,1299.5,314.9,40.0,291.4,150.5,1002.6,5674.5,1661.3,636.6,2012
COL,7701.8,88.4,1046.8,2107.4,1383.8,422.6,71.8,229.2,138.1,988.8,5594.4,1675.2,621.4,2012
DET,7562.4,121.5,1002.6,2025.9,1361.7,385.3,53.9,225.1,81.5,963.9,5536.4,1523.2,705.7,2012
HOU,7467.1,76.0,805.1,1762.2,1193.2,328.7,38.7,201.6,145.0,752.6,5704.9,1885.1,639.4,2012
KC,7783.3,99.4,933.6,2060.5,1421.0,407.4,51.1,180.9,182.3,888.0,5722.9,1425.2,557.9,2012
LAA,7645.2,122.9,1059.2,2096.4,1430.7,377.0,30.4,258.2,185.1,1010.9,5548.9,1537.1,620.1,2012
CLE,7630.0,93.9,921.1,1912.7,1324.4,367.3,33.1,187.8,151.9,876.9,5717.3,1501.1,766.5,2012
NYM,8310.7,110.6,925.4,1968.9,1333.5,393.2,47.8,194.4,170.4,886.5,6341.8,2069.1,765.4,2013
PIT,8195.6,140.5,947.8,2010.8,1309.6,408.1,52.3,240.7,140.5,901.5,6184.8,1988.4,701.2,2013
NYY,8146.3,127.1,971.8,1974.9,1354.5,369.3,35.9,215.3,171.9,917.9,6171.4,1814.9,696.7,2013
OAK,8250.9,143.5,1145.2,2096.0,1330.6,450.0,37.4,278.1,110.6,1082.4,6154.9,1761.1,852.2,2013
PHI,8156.7,109.1,912.0,2025.7,1387.4,381.2,47.8,209.3,109.1,864.1,6131.0,1801.5,623.4,2013
SD,8247.9,113.6,923.9,2016.8,1391.8,367.8,38.9,218.3,176.4,864.1,6231.2,1957.0,698.2,2013
WSH,8126.8,128.6,980.7,2040.7,1372.4,387.2,40.4,240.7,131.6,928.4,6086.1,1782.0,693.7,2013
SF,8300.2,113.6,940.4,2161.8,1530.9,418.6,52.3,160.0,100.2,891.0,6138.5,1611.6,701.2,2013
STL,8307.7,145.0,1170.6,2233.5,1535.4,481.4,29.9,186.9,67.3,1113.8,6074.2,1659.4,719.1,2013
TB,8279.3,137.5,1046.5,2124.4,1400.8,442.5,34.4,246.7,109.1,1001.6,6154.9,1750.6,880.6,2013
TEX,8349.6,136.0,1091.4,2190.2,1501.0,391.7,34.4,263.1,222.8,1034.5,6159.4,1595.2,690.7,2013
TOR,8273.3,110.6,1064.4,2090.0,1369.4,408.1,35.9,276.6,167.4,1000.2,6183.3,1678.9,762.4,2013
MIN,8318.2,98.7,917.9,2012.3,1338.0,426.1,22.4,225.7,77.7,882.0,6305.9,2137.8,796.8,2013
SEA,8283.8,106.1,929.9,1961.4,1284.2,372.3,25.4,279.6,71.8,889.5,6322.4,2015.3,790.9,2013
MIL,8183.6,110.6,956.8,2064.6,1409.8,355.8,64.3,234.7,212.3,912.0,6119.0,1768.6,608.5,2013
CIN,8221.0,134.6,1043.5,2048.2,1376.9,409.6,29.9,231.7,100.2,992.7,6172.9,1861.3,874.6,2013
LAD,8209.0,137.5,970.3,2161.8,1510.0,420.1,25.4,206.3,116.6,923.9,6047.3,1713.3,711.6,2013
MIA,8146.3,92.7,766.9,1879.2,1363.4,327.4,46.3,142.0,116.6,725.1,6267.0,1841.8,645.8,2013
ATL,8134.3,143.5,1028.6,2025.7,1354.5,369.3,31.4,270.6,95.7,980.7,6108.6,2069.1,810.3,2013
BAL,8367.5,127.1,1109.3,2170.7,1390.4,442.5,20.9,316.9,118.1,1070.4,6196.8,1671.4,615.9,2013
BOS,8443.8,145.0,1275.2,2339.7,1489.0,541.2,43.4,266.1,183.9,1224.4,6104.1,1952.5,868.6,2013
CHC,8215.0,98.7,900.0,1952.5,1225.9,442.5,26.9,257.1,94.2,861.1,6262.6,1838.8,654.8,2013
CHW,8316.7,94.2,894.0,2070.6,1466.6,354.3,28.4,221.3,157.0,858.1,6246.1,1804.5,614.4,2013
ARI,8485.6,121.1,1024.1,2194.7,1502.5,451.5,46.3,194.4,92.7,967.3,6291.0,1707.3,775.9,2013
