Team,Innings pitched,Earned runs,Hits allowed,Wins,Walks allowed,Strikeouts pitched,Year
ARI,1979.0,867.3,1977.6,111.9,5.0,1657.2,2012
WSH,2027.3,752.6,1789.8,135.3,5.8,1829.8,2012
TOR,1992.8,1028.8,1985.9,100.8,6.8,1578.5,2012
TEX,1991.4,889.4,1903.0,128.4,5.3,1776.0,2012
TB,2014.9,715.4,1702.8,124.3,5.5,1909.9,2012
STL,2019.0,832.7,1961.0,121.5,5.1,1682.1,2012
SF,2003.8,818.9,1879.5,129.8,5.8,1708.3,2012
SEA,2010.7,841.0,1875.4,103.6,5.3,1610.2,2012
PIT,1979.0,860.4,1874.0,109.1,5.9,1646.2,2012
PHI,2003.8,859.0,1915.4,111.9,4.8,1912.7,2012
OAK,2030.1,788.6,1878.2,129.8,5.4,1568.8,2012
NYY,1995.5,854.8,1934.8,131.2,5.1,1820.2,2012
NYM,1980.4,896.3,1889.2,102.2,5.8,1712.4,2012
MIN,1985.9,1052.3,2121.2,91.1,5.5,1302.3,2012
MIL,2006.6,941.8,2013.5,114.6,6.2,1936.2,2012
SD,1980.4,883.8,1872.6,105.0,6.4,1664.1,2012
LAD,2001.1,745.7,1763.5,118.8,6.4,1762.2,2012
MIA,1988.6,907.3,1999.7,95.3,5.9,1537.1,2012
ATL,1995.5,758.2,1809.1,129.8,5.5,1701.4,2012
BAL,2048.0,886.6,1979.0,128.4,5.6,1625.4,2012
BOS,1992.8,1045.4,2001.1,95.3,6.3,1624.1,2012
CHC,1951.4,977.7,1932.0,84.2,7.0,1557.8,2012
CIN,2006.6,749.9,1872.6,134.0,5.0,1723.5,2012
CHW,1995.5,892.1,1885.1,117.4,6.0,1720.7,2012
COL,1963.8,1137.9,2260.7,88.4,6.8,1579.9,2012
DET,1974.8,827.2,1945.8,121.5,5.3,1820.2,2012
HOU,1965.2,997.1,2061.8,76.0,6.5,1615.8,2012
KC,2003.8,958.4,2077.0,99.4,6.4,1625.4,2012
LAA,1979.0,883.8,1849.2,122.9,5.8,1597.8,2012
CLE,1991.4,1059.2,2075.6,93.9,6.5,1499.8,2012
NYM,2206.6,928.4,2155.8,110.6,6.2,1807.5,2013
PIT,2196.2,799.8,1942.0,140.5,7.0,1885.2,2013
NYY,2163.3,947.8,2169.2,127.1,6.1,1843.3,2013
OAK,2170.7,858.1,2001.8,143.5,5.9,1768.6,2013
PHI,2146.8,1034.5,2190.2,109.1,7.1,1792.5,2013
SD,2175.2,961.3,2103.5,113.6,7.3,1750.6,2013
WSH,2160.3,861.1,2042.2,128.6,5.6,1847.8,2013
SF,2163.3,961.3,2063.1,113.6,7.2,1877.7,2013
STL,2181.2,831.2,2039.2,145.0,6.2,1874.7,2013
TB,2188.7,909.0,1965.9,137.5,6.6,1958.4,2013
TEX,2187.2,882.0,2048.2,136.0,6.8,1957.0,2013
TOR,2169.2,1028.6,2169.2,110.6,6.9,1801.5,2013
MIN,2167.8,1097.3,2378.5,98.7,6.3,1472.6,2013
SEA,2182.7,1043.5,2179.7,106.1,6.5,1933.0,2013
MIL,2155.8,919.4,2094.5,110.6,6.5,1681.9,2013
CIN,2202.1,828.2,1934.5,134.6,5.9,1937.5,2013
LAD,2167.8,783.4,1974.9,137.5,6.4,1931.5,2013
